,genesymbol
0,ACTB
1,ACTG1
2,GAPDH
3,TUBB
4,TUBA1A
5,TUBA1B
6,TUBA4A
7,RPL3
8,RPL4
9,RPL5
10,RPL6
11,RPL7
12,RPL7A
13,RPL8
14,RPL9
15,RPL10
16,RPL10A
17,RPL11
18,RPL12
19,RPL13
20,RPL13A
21,RPL14
22,RPL15
23,RPL17
24,RPL18
25,RPL18A
26,RPL19
27,RPL21
28,RPL22
29,RPL23
30,RPL23A
31,RPL24
32,RPL26
33,RPL27
34,RPL27A
35,RPL28
36,RPL29
37,RPL30
38,RPL31
39,RPL32
40,RPL34
41,RPL35
42,RPL35A
43,RPL36
44,RPL36A
45,RPL37
46,RPL37A
47,RPL38
48,RPL39
49,RPL40
50,RPS2
51,RPS3
52,RPS3A
53,RPS4X
54,RPS4Y1
55,RPS5
56,RPS6
57,RPS7
58,RPS8
59,RPS9
60,RPS10
61,RPS11
62,RPS12
63,RPS13
64,RPS14
65,RPS15
66,RPS15A
67,RPS16
68,RPS17
69,RPS18
70,RPS19
71,RPS20
72,RPS21
73,RPS23
74,RPS24
75,RPS25
76,RPS26
77,RPS27
78,RPS27A
79,RPS28
80,RPS29
81,RPLP0
82,RPLP1
83,RPLP2
84,EEF1A1
85,EEF1B2
86,EEF2
87,EIF3A
88,EIF4A1
89,HNRNPA1
90,HNRNPC
91,HSP90AA1
92,HSP90AB1
93,HSPA8
94,HSPD1
95,UBB
96,UBC
97,UBE2D3
98,PPIA
99,B2M
100,LDHA
101,ENO1
102,PGAM1
103,TPI1
104,PGK1
105,ALDOA
106,PKM
107,GPI
108,PFKL
109,FASN
110,SET
111,PABPC1
112,PCNA
113,PTMA
114,HMGB1
115,HMGB2
116,H3.3
117,H4C1
